Kilometros,Tipo Combustible,Marca,Modelo,Edicion,Año,Color,Tipo de Vehiculo,Estatus de Vehiculo,Precio,Numero de Puertas
93123,Gasolina,Chevrolet,Cruze,Sport,2024,Gris,SUV,Usado,17472,4
192904,Gas,Hyundai,Elantra,Deluxe,2013,Rojo,SUV,Usado,6188,4
124390,Gasolina,Ford,F150,Limited,2011,Blanco,Sedan,Usado,5600,2
280360,Gasolina,Nissan,Altima,Deluxe,2016,Verde,Coupe,Usado,11200,4
64962,GLP,Chevrolet,Cruze,Limited,2009,Blanco,SUV,Usado,7280,2
150271,GLP,Ford,F150,Deluxe,2008,Rojo,Compacto,Usado,5040,4
289561,Gasolina,Ford,F150,Touring,2005,Rojo,Camioneta,Usado,7280,4
105651,Gasolina,Ford,F150,Sport,2014,Negro,Sedan,Usado,11200,4
52672,Gas,Hyundai,Elantra,Touring,2009,Negro,Compacto,Usado,4284,4
209587,Electrico,BMW,X5,Sport,2011,Verde,Compacto,Usado,7560,6
65848,Electrico,BMW,X5,Sport,2019,Gris,SUV,Usado,21840,2
47548,GLP,Chevrolet,Cruze,Touring,2011,Azul,Compacto,Usado,7200,4
15529,Gasolina,Nissan,Altima,Touring,2023,Rojo,Compacto,Usado,17280,4
66707,Gasolina,BMW,X5,Touring,2003,Negro,Coupe,Usado,5600,4
95769,Gas,Hyundai,Elantra,Standard,2000,Rojo,Camioneta,Usado,6188,1
12619,Gasolina,Chevrolet,Cruze,Sport,2010,Gris,SUV,Usado,10400,2
4344,Electrico,BMW,X5,Touring,2015,Gris,Coupe,Usado,31200,2
63668,Hibrido,Honda,Civic,Sport,2013,Blanco,Sedan,Usado,6720,4
110862,Hibrido,Honda,Civic,Standard,2007,Negro,Coupe,Usado,6720,2
284091,Hibrido,Honda,Civic,Standard,2013,Rojo,Sedan,Usado,6720,4
139903,GLP,Chevrolet,Cruze,Standard,2013,Blanco,Coupe,Usado,5600,4
118739,GLP,Chevrolet,Cruze,Touring,2006,Azul,Camioneta,Usado,7280,2
289572,Hibrido,Toyota,Corolla,Deluxe,2000,Rojo,Coupe,Usado,6720,2
215640,Electrico,BMW,X5,Limited,2014,Azul,Coupe,Usado,16800,2
242309,GLP,Chevrolet,Cruze,Standard,2003,Negro,Compacto,Usado,5040,4
146554,Electrico,BMW,X5,Limited,2018,Blanco,SUV,Usado,21840,3
274027,Gasolina,Chevrolet,Cruze,Limited,2002,Gris,Sedan,Usado,5600,4
214404,Gasolina,Chevrolet,Cruze,Standard,2018,Rojo,Compacto,Usado,10080,4
44186,Gas,Hyundai,Elantra,Limited,2003,Verde,SUV,Usado,8840,4
145671,Electrico,BMW,X5,Deluxe,2016,Azul,SUV,Usado,21840,4
81537,Gas,Hyundai,Elantra,Deluxe,2023,Verde,Coupe,Usado,11424,2
284529,Gasolina,Hyundai,Elantra,Limited,2008,Gris,SUV,Usado,7280,4
